文德
中正紀念堂
關渡
西門
松山
關渡
北投
葫洲
臺大醫院
劍潭
木柵
忠孝新生
市政府
圓山
芝山
劍潭
龍山寺
公館
新北投
雙連
士林
士林
新北投
圓山
大湖公園
大直
關渡
劍潭
石牌
中山
中山
圓山
忠義
動物園
松江南京
雙連
新北投
中山
國父紀念館
士林
動物園
劍潭
唭哩岸
大安森林公園
新北投
象山
龍山寺
行天宮
新北投
中正紀念堂
市政府
動物園
新北投
關渡
忠孝新生
臺大醫院
台北101／世貿
龍山寺
